experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
73615573,Iqgap2,0.361115,0.0429486,0.0382493,0.0726322,1145,1,0.14359
77414921,Asb8,0.371239,0.0933465,0.0908305,0.109239,1621,0.953148,0.236919
73907501,Scn5a,0.365496,0.0738576,0.0664533,0.120628,1658,1,0.433182
79912572,Oprm1,0.382857,0.106212,0.0981896,0.156886,1712,1,0.109131
1197,Hook3,0.426817,0.0382312,0.0318468,0.078559,1323,1,0.222495
71836849,Ier2,0.54487,0.307295,0.304872,0.322603,2698,1,0.473077
73520992,Itpkb,0.345932,0.0321161,0.0265114,0.0675189,1409,0.0537114,0.0456756
77869865,Inpp5j,0.329306,0.0538128,0.0509622,0.0718187,1269,0.997642,0.150536
1679,Cacnb4,0.424225,0.0421862,0.0293815,0.123068,1339,0.187778,0.165163
73992910,Grem2,0.377722,0.0715863,0.0697649,0.0830912,2386,0.57945,0.0988084
346,Dkk3,0.441008,0.0598008,0.0439894,0.159675,1826,0.109232,0.119753
73769322,Cpne6,0.375934,0.0383106,0.0312029,0.0832074,1658,0.0498643,0.201285
75042242,Rims3,0.363343,0.061405,0.0531332,0.113655,2383,0.462397,0.308017
858,Ptpru,0.272969,0.0963484,0.0919528,0.124114,1303,0.543152,0.137994
75077152,Prl2c2,0.339047,0.0777808,0.0731685,0.106915,1998,0.862677,0.189024
75651226,Smpd4,0.354405,0.0574501,0.0524708,0.0889018,1053,0.974249,0.228735
1563,Pou2f1,0.559275,0.299401,0.292453,0.343289,1658,1,0.337903
73521820,Robo1,0.403826,0.109055,0.0958163,0.192679,1409,1,0.329329
323592,Dynlrb1,0.478089,0.20777,0.198256,0.267868,2383,1,0.145157
73929874,Cwc25,0.372871,0.04603,0.0380285,0.0965718,1658,1,0.180351
74881744,Nceh1,0.426032,0.0889468,0.0827354,0.128181,1890,1,0.251474
1038,Tac1,0.203752,0.0244127,0.0198697,0.0531087,520,0.738462,0.136803
73636039,Ablim2,0.364667,0.048476,0.0399603,0.102266,1409,1,0.305166
74511924,Sorl1,0.386585,0.0597373,0.0537771,0.0973852,1658,0.917278,0.243941
77413690,Stat5a,0.388198,0.118553,0.113754,0.148867,1602,0.651869,0.0283539
1838,Slc29a1,0.454508,0.0787655,0.0630864,0.177804,1168,1,0.223033
74658084,Mmp14,0.35541,0.0675042,0.0627369,0.0976177,883,0.914079,0.195922
79908808,Mecp2,0.392064,0.100097,0.0943261,0.136549,1890,1,0.462624
1561,Plxnb1,0.513262,0.218841,0.188891,0.408019,7019,0.20543,0.0357851
